#This file contains a self-published geofeed as defined in http://tools.ietf.org/html/draft-google-self-published-geofeeds-02 (draft02)
#Generated on 27-05-2024 10:18:20
#If you have any questions or need assistance with the data, please contact us.
#prefix,country_code,region_code,city,postal
# North America
2a13:a5c3:2000::/42,US,US-MO,Kansas City,
2a13:a5c3:2100::/41,US,US-CA,Los Angeles,
2a13:a5c3:2240::/42,US,US-CA,San Jose,
2a13:a5c3:2200::/42,US,US-CA,Fremont,
2a13:a5c3:2280::/44,US,US-NV,Las Vegas,
2a13:a5c3:2500::/41,US,US-NY,New York,
2a13:a5c3:2580::/42,US,US-FL,Miami,
2a13:a5c3:2800::/44,CA,CA-BC,Vancouver,
2a13:a5c3:2900::/42,CA,CA-ON,Toronto,
# Asia
23.149.120.0/24,HK,,Hong Kong,
5.160.111.0/24,TW,TW-TPE,Taipei,
2a13:a5c3:3000::/40,SG,SG-01,Singapore,
2a13:a5c3:3100::/40,TW,TW-TPE,Taipei,
2a13:a5c3:3200::/40,HK,,Hong Kong,
2a13:a5c3:3300::/41,JP,JP-13,Tokyo,
2a13:a5c3:3380::/42,JP,JP-27,Osaka,
2a13:a5c3:3400::/42,KR,KR-11,Seoul,
2a13:a5c3:3480::/42,IN,IN-MH,Mumbai,
2a13:a5c3:34c0::/43,IN,IN-DL,New Delhi,
2a13:a5c3:3500::/43,AE,AE-DU,Dubai,
2a13:a5c3:3600::/44,TR,TR-16,Bursa,
2a13:a5c3:3640::/42,UZ,UZ-TO,Toshkent,
#Europe
2a13:a5c3:4000::/42,DE,DE-HE,Frankfurt,
2a13:a5c3:4040::/43,DE,DE-HE,Frankfurt,
2a13:a5c3:4060::/43,DE,DE-SN,Falkenstein,08223
2a13:a5c3:4080::/43,DE,DE-SN,Falkenstein,08223
2602:f9f6:f00::/40,DE,DE-SN,Falkenstein,08223
2a13:a5c3:4100::/41,NL,NL-NH,Amsterdam,
2a13:a5c3:4180::/42,RU,RU-MOW,Moscow,
2a13:a5c3:41c0::/44,RU,RU-SPE,Saint Petersburg,
2a13:a5c3:4200::/42,DK,DK-84,Copenhagen,
2a13:a5c3:4240::/42,GB,GB-LND,London,
2a13:a5c3:4280::/42,FI,FI-18,Helsinki,04360
2a13:a5c3:4300::/42,EE,EE-37,Tallinn,
2a13:a5c3:4340::/42,ES,ES-B,Barcelona,
2a13:a5c3:4380::/42,UA,UA-30,Kyiv,
#South America
2a13:a5c3:5100::/42,BR,BR-SP,Sao Paulo,
2a13:a5c3:5200::/42,PE,,Lima,
2a13:a5c3:5100::/40,AR,,Rosario,
#Africa
2a13:a5c3:6000::/40,NG,NG-LA,Lagos,
#Chinese region
2a13:a5c3:1000::/41,TW,TW-TPE,Taipei,
2a13:a5c3:1080::/41,CN,CN-SH,Shanghai,
2a13:a5c3:1100::/42,CN,CN-HN,Changsha,
2a13:a5c3:1200::/41,CN,CN-GD,Guangzhou,
2a13:a5c3:1280::/42,CN,CN-GD,Shenzhen,
2a13:a5c3:1300::/41,CN,CN-HA,Zhengzhou,
2a13:a5c3:1380::/43,CN,CN-HA,Zhoukou,
2a13:a5c3:1400::/40,CN,CN-BJ,Beijing,
2a13:a5c3:1500::/41,CN,CN-HB,Wuhan,
2a13:a5c3:1580::/43,CN,CN-HB,jingmen,
2a13:a5c3:1600::/42,CN,CN-JS,Suzhou,
2a13:a5c3:1640::/42,CN,CN-JS,Nanjing,
2a13:a5c3:1700::/42,CN,CN-ZJ,Hangzhou,
2a13:a5c3:1740::/43,CN,CN-ZJ,Ningbo,
2a13:a5c3:1800::/43,CN,CN-HE,Shijiazhuang,
2a13:a5c3:1900::/43,CN,CN-SD,Jinan,
2a13:a5c3:1940::/43,CN,CN-SD,qingdao,
2a13:a5c3:1a00::/42,CN,CN-HI,Haikou,
2a13:a5c3:1a40::/42,CN,CN-HI,Sanya,
#MoeDove-One-Europe
2a13:a5c3:d000::/46,AL,AL-01,Tirana,
2a13:a5c3:d004::/46,AD,AD-07,Andorra la Vella,
2a13:a5c3:d008::/46,AT,AT-9,Vienna,
2a13:a5c3:d00c::/46,BY,BY-HM,Minsk,
2a13:a5c3:d010::/46,BE,BE-BRU,Brussels,
2a13:a5c3:d014::/46,BA,BA-BIH,Sarajevo,
2a13:a5c3:d018::/46,BG,BG-23,Sofia,
2a13:a5c3:d01c::/46,HR,HR-21,Zagreb,
2a13:a5c3:d020::/46,CY,CY-01,Nicosia,
2a13:a5c3:d024::/46,CZ,CZ-10,Prague,
2a13:a5c3:d028::/46,DK,DK-84,Copenhagen,
2a13:a5c3:d02c::/46,EE,EE-37,Tallinn,
2a13:a5c3:d030::/46,FI,FI-18,Helsinki,
2a13:a5c3:d034::/46,FR,FR-IDF,Paris,
2a13:a5c3:d038::/46,DE,DE-BE,Berlin,
2a13:a5c3:d03c::/46,GR,GR-I,Athens,
2a13:a5c3:d040::/46,HU,HU-BU,Budapest,
2a13:a5c3:d044::/46,IS,IS-1,Reykjavik,
2a13:a5c3:d048::/46,IE,IE-L,Dublin,
2a13:a5c3:d04c::/46,IT,IT-62,Rome,
2a13:a5c3:d050::/46,LV,LV-RIX,Riga,
2a13:a5c3:d054::/46,LI,LI-11,Vaduz,
2a13:a5c3:d058::/46,LT,LT-VL,Vilnius,
2a13:a5c3:d05c::/46,LU,LU-LU,Luxembourg City,
2a13:a5c3:d060::/46,MK,MK-812,Skopje,
2a13:a5c3:d064::/46,MT,MT-25,Valletta,
2a13:a5c3:d068::/46,MD,MD-RI,Chisinau,
2a13:a5c3:d06c::/46,MC,MC-MO,Monaco,
2a13:a5c3:d070::/46,ME,ME-16,Podgorica,
2a13:a5c3:d074::/46,NL,NL-NH,Amsterdam,
2a13:a5c3:d078::/46,NO,NO-03,Oslo,
2a13:a5c3:d07c::/46,PL,PL-14,Warsaw,
2a13:a5c3:d080::/46,PT,PT-11,Lisbon,
2a13:a5c3:d084::/46,RO,RO-B,Bucharest,
2a13:a5c3:d088::/46,RU,RU-MOW,Moscow,
2a13:a5c3:d08c::/46,SM,SM-06,San Marino,
2a13:a5c3:d090::/46,RS,RS-00,Belgrade,
2a13:a5c3:d094::/46,SK,SK-BL,Bratislava,
2a13:a5c3:d098::/46,SI,SI-061,Ljubljana,
